,vocab,count,valence
415,[CH+]1NCCO1,1,"[(1, 1, 2, 2, 0)]"
416,[CH+]1[CH-][CH+]OC1,1,"[(1, 1, 1, 0, 2)]"
417,[CH-]1CC[NH2+]C1,1,"[(1, 2, 2, 2, 2)]"
418,B1BNC=CN1,6,"[(1, 1, 1, 1, 1, 1)]"
419,B1BNCCN1,1,"[(1, 1, 1, 2, 2, 1)]"
420,B1BOC=CO1,1,"[(1, 1, 0, 1, 1, 0)]"
421,B1C=CBC=C1,5,"[(1, 1, 1, 1, 1, 1)]"
422,B1C=CBNN1,1,"[(1, 1, 1, 1, 1, 1)]"
423,B1C=CC=CN1,21,"[(1, 1, 1, 1, 1, 1)]"
424,B1C=CC=CO1,5,"[(1, 1, 1, 1, 1, 0)]"
425,B1C=CC=CS1,1,"[(1, 1, 1, 1, 1, 0)]"
426,B1C=CC=NN1,7,"[(1, 1, 1, 1, 0, 1)]"
427,B1C=CC=NO1,1,"[(1, 1, 1, 1, 0, 0)]"
428,B1C=CCC=C1,1,"[(1, 1, 1, 2, 1, 1)]"
429,B1C=CCCN1,1,"[(1, 1, 1, 2, 2, 1)]"
